Hora,PMA,Speed,SPL,SNR,Calado,Direct,Indirect,Detections,Alone,Visible,Duration,Ideal
-0.60007124,103.023,17.3495,144.6309,15.6873,7.6,104.3201732,107.7603755,2,3.666666667,1,8,-1
0.695912797,130.8656,15.9577,134.1628,15.6892,7.6,131.8892159,134.6267628,2,24.66666667,1,16.4,1
0.780157519,128.5393,16.9847,141.573,14.2911,7.6,129.5812936,132.3665805,0,30,1,17.3,1
-0.782109931,132.5587,18.7732,130.0987,9.43,7.6,133.5693413,136.273141,2,16.16666667,1,3.35,-1
-0.80025193,6.0898,16.7705,143.5614,7.3682,11.3,14.08458959,35.8214414,1,7.333333333,-1,0,-1
0.715184643,12.7537,16.3899,133.1157,9.1236,11.3,17.99852393,37.53327675,1,68.33333333,1,18.6,1
0.54549261,12.9651,20.0585,133.354,17.6688,11.3,18.14893435,37.60563546,2,22.5,1,6.3,-1
0.946391163,19.0522,19.8528,129.3625,3.6877,11.3,22.89708114,40.11329362,1,55.16666667,1,9.5,-1
0.036498362,54.4794,19.0082,125.852,4.0148,11.3,55.94010211,64.91606137,4,16.33333333,1,12.5,1
-0.8992717,66.0088,19.1573,143.4848,10.1979,11.3,67.21942932,74.85487077,2,51.83333333,-1,0,-1
-0.8992717,66.0088,19.1573,142.6718,9.6695,11.3,67.21942932,74.85487077,2,49.33333333,-1,0,-1
0.790155012,110.2197,17.7586,133.5066,9.5453,11.3,110.9489624,115.7344904,1,47.33333333,-1,0,-1
0.876271644,68.1621,16.2282,156.0476,3.0266,11.3,69.33514171,76.76041868,4,30.16666667,1,7.7,-1
-0.449318999,68.3523,22.4884,130.5591,15.0196,11.3,69.52213256,76.92936315,3,10.5,-1,0,-1
0.401748001,72.8308,13.5013,141.2166,9.8586,11.3,73.92980068,80.93463677,1,97.83333333,-1,0,-1
-0.736539944,86.9455,18.0249,131.7309,1.5196,11.3,87.86813968,93.83821167,1,31.16666667,-1,0,-1
0.718227507,19.7878,17.4946,126.9739,11.2941,7.9,25.51013581,37.53887357,1,69.33333333,1,17,1
-0.862624048,36.9789,24.9273,137.5585,12.5448,7.9,40.33173744,48.83696392,3,53.66666667,-1,0,-1
-0.009744601,43.4405,19.4385,152.6732,20.4276,7.9,46.3280373,53.89514858,4,6.333333333,1,22.4,1
0.713250449,127.1837,16.0756,127.0431,13.8775,7.9,128.1986878,131.123238,2,31.83333333,1,17.8,1
-0.863945391,97.7533,19.787,150.1614,5.9153,7.6,99.11946156,102.7339655,1,145.8333333,1,18.6,1
-0.895420555,41.1054,19.71,125.7305,7.9435,7.1,44.4439412,51.54477577,1,2.333333333,-1,0,-1
0.186309694,48.8914,19.4385,134.9504,9.5423,7.1,51.72986559,57.94462006,1,116.5,-1,0,-1
0.922032149,89.2631,14.6483,136.2719,20.2608,7.1,90.8488361,94.52571619,1,139.8333333,1,25.5,-1
-0.800033833,19.4174,19.3511,149.294,7.2478,5,27.16680737,34.90036422,1,1.666666667,1,7.1,1
-0.800033833,19.4174,19.3511,149.686,9.1204,5,27.16680737,34.90036422,1,41.83333333,1,7.7,1
-0.766091186,25.6942,28.138,139.2187,10.1076,5,31.95609353,38.74521795,2,60,1,11,-1
0.657046379,38.2294,22.2618,144.3838,-5.7083,5,42.69059644,47.98423725,3,7,1,9.05,-1
-0.354631039,39.0659,19.6478,130.8785,7.2187,5,43.44127695,48.65330968,2,12.16666667,1,2.25,-1
-0.79224527,46.7671,18.4762,136.2971,9.7127,5,50.47931896,55.0287347,2,73,-1,0,-1
-0.999839985,48.8409,19.1546,136.932,14.4321,5,52.40642625,56.80170343,2,98.33333333,-1,0,-1
0.745912084,51.8028,20.9845,155.7746,9.6101,5,55.1772606,59.36775293,1,10.83333333,1,8.35,1
-0.885359819,58.606,14.7896,126.5277,6.2988,5,61.60895419,65.38855585,1,34,1,8.65,-1
-0.562804928,60.6458,18.6152,146.2986,14.0422,5,63.55244336,67.22286112,2,65.66666667,1,8.5,1
0.968038299,61.7072,18.9279,125.8471,13.5194,5,64.5660788,68.18195166,1,19,1,8.45,1
0.558046873,64.9013,13.8013,135.1873,4.9649,5,67.62528182,71.08571405,1,11.5,-1,0,-1
-0.930337588,66.324,17.3289,149.5937,5.7866,5,68.99183268,72.38696689,3,12.33333333,1,6.45,-1
0.653365552,78.6313,25.3228,124.5999,10.5946,5,80.89426024,83.80859944,1,44.66666667,1,13,1
0.626830485,83.1452,15.3979,124.6039,4.6247,5,85.28847685,88.05750555,0,30,-1,0,-1
-0.926638031,91.3978,19.9479,122.9432,8.5667,5,93.35179615,95.88825707,2,3.166666667,1,7.95,-1
0.029012027,94.2559,20.6786,129.0499,14.8453,5,96.15183142,98.6163003,2,50,-1,0,-1
0.724522821,99.8015,19.9205,129.999,6.1859,5,101.5939929,103.9294925,4,4.666666667,-1,0,-1
-0.051537093,100.1427,16.2197,136.2987,2.8531,5,101.9291929,104.2571837,1,45.83333333,-1,0,-1
0.11739296,101.6347,21.1324,136.9722,7.9697,5,103.3954169,105.6911171,2,62.66666667,1,11.6,1
-0.976248764,15.5892,22.5323,148.5684,19.8283,4.9,24.65427258,32.83646078,2,30.5,1,8.2,-1
0.177013167,16.9816,17.8489,127.8522,14.2917,4.9,25.55747911,33.51991555,1,48.83333333,1,11.8,-1
0.799160389,27.6035,18.5456,135.5588,2.3081,4.9,33.56729379,39.96452442,1,35.83333333,1,8.05,1
-0.967782454,48.1697,13.7624,132.1766,5.4365,4.9,51.81824001,56.17410434,2,11.33333333,-1,0,-1
-0.96345534,61.1397,15.127,121.1712,3.2691,4.9,64.05367215,67.62597812,2,22.16666667,-1,0,-1
-0.822144041,63.294,16.8382,132.3149,13.4126,4.9,66.11308824,69.57974156,3,98.33333333,1,12.5,-1
-0.807604083,76.1031,20.9287,142.8357,12.451,4.9,78.46331518,81.40572357,1,11.33333333,-1,0,-1
-0.995255744,86.7559,15.9646,140.7171,12.5967,4.9,88.83353075,91.44285748,1,54.33333333,1,15.2,-1
-0.702204831,94.7327,19.4423,126.0789,12.5548,4.9,96.63899032,99.04289197,1,77.33333333,1,6.45,1
0.014180325,95.1317,21.2112,131.7483,12.1401,4.9,97.03015173,99.42459628,1,39,1,11.5,1
0.405606939,112.5956,17.5107,125.7816,4.3168,4.9,114.2041117,116.2453403,1,22.16666667,-1,0,-1
-0.746493034,116.4034,19.9069,126.7259,3.1109,4.9,117.9599997,119.9373233,1,33.33333333,1,7.4,-1
0.22842167,134.6707,15.6699,136.0576,14.9159,4.9,136.0184085,137.7367324,1,25,1,15.4,1
-0.741536889,137.0507,17.8834,133.8825,3.6878,4.9,138.3752303,140.0646435,5,1.333333333,-1,0,-1
-0.043401428,138.156,17.6644,126.5543,1.9196,4.9,139.4700338,141.1463437,0,30,-1,0,-1
-0.877669484,149.1031,12.555,140.3507,10.6318,4.9,150.3214703,151.8780578,3,0.833333333,-1,0,-1
-0.96888987,164.3433,15.0758,117.2276,1.5107,4.9,165.4494795,166.8650061,2,29.33333333,-1,0,-1
0.590194804,185.5137,17.3772,132.6162,7.3444,4.9,186.4943508,187.7512793,1,80.33333333,-1,0,-1
